,model_name,review,clean_review,sentiments
112,"HP Notebook 15-dy1008CA, 15.6” HD ","HP Notebook 15-dy1008CA, 15.6” HD Laptop, ... My new HP laptop will not connect to the Internet.","HP Notebook 15-dy1008CA, 15.6"" HD Laptop, ... My new HP laptop connect Internet.",suggestion
113,HP 15 Laptop- 15.6&#34; HD - i7-8565U,"HP 15 Laptop- 15.6"" HD - i7-8565U - 12GB ... If you are looking for a nice PC, consider this HP laptop.","HP 15 Laptop- 15.6"" HD - i7-8565U - 12GB ... If looking nice PC, consider HP laptop.",appreciation
114,HP 355 G2 K4K27UT#ABA 15.6-Inch ,HP 355 G2 K4K27UT#ABA ... How customer reviews and ratings work ... PROBLEMS WITH HP LAPTOP & WARRANTY.,HP 355 G2 K4K27UT#ABA ... How customer reviews ratings work ... PROBLEMS WITH HP LAPTOP & WARRANTY.,suggestion
115,HP Probook G4 15.6-Inch Laptop (Intel ,"HP Probook G4 ... One thing is very special, this probook is much better than normal HP laptop.","HP Probook G4 ... One thing special, probook much better normal HP laptop.",appreciation
116,HP Pavilion dv4-5110us 14-Inch Laptop ,HP Pavilion dv4-5110us 14-Inch ... I was so excited before i bought the hp laptop pavillion dv4-5110us.,HP Pavilion dv4-5110us 14-Inch ... I excited bought hp laptop pavillion dv4-5110us.,appreciation
117,HP Touch 15z Slim ,HP Touch 15z Slim Laptop in Blue Ryzen 5 Quad Core up to 3.6GHz 16GB RAM 128GB SSD 1TB HDD 15.6in FHD ...,HP Touch 15z Slim Laptop Blue Ryzen 5 Quad Core 3.6GHz 16GB RAM 128GB SSD 1TB HDD 15.6in FHD ...,suggestion
118,"HP 15.6 Inch Laptop, Intel Iris Xe Graphics, 11th ",Compare New & Used (66) from. $318.99$318.99 ... Wi-Fi 6 (802.11ax) is backwards compatible with prior 802.11 specs. ... Quick Review of The HP Laptop.,Compare New & Used (66) from. $318.99$318.99 ... Wi-Fi 6 (802.11ax) backwards compatible prior 802.11 specs. ... Quick Review The HP Laptop.,appreciation
119,HP Pavilion Laptop (2022 Model) ,HP Pavilion Laptop (2022 ... Definitely in love with my HP laptop it works so much better and less of a ...,HP Pavilion Laptop (2022 ... Definitely love HP laptop works much better less ...,appreciation
120,HP 2022 Newest Envy Laptop ,"HP 2022 Newest Envy Laptop, ... A long, long time ago I had another HP laptop and I adored it.","HP 2022 Newest Envy Laptop, ... A long, long time ago I another HP laptop I adored it.",appreciation
121,"HP Pavilion 15 Laptop, 15.6&#34","HP Pavilion 15 Laptop, ... El modelo de la computadora que recibí es: Hp Laptop 15- dy2093dx, Memory, ...","HP Pavilion 15 Laptop, ... El modelo de la computadora que recibi es: Hp Laptop 15- dy2093dx, Memory, ...",suggestion
122,HP EliteBook Folio 9470m 14-Inch ,HP EliteBook Folio 9470m ... How customer reviews and ratings work ... Best HP laptop I've ever used!,HP EliteBook Folio 9470m ... How customer reviews ratings work ... Best HP laptop I've ever used!,appreciation
123,"HP Pavilion 15 Laptop, 11th Gen Intel Core i7-1165G7 ","Compare New & Used (43) from ... ASIN: B08KGYDR16; Customer Reviews: 4.5 out of 5 stars 1,022Reviews ... This is my 2nd HP Laptop with a i7 processor.","Compare New & Used (43) ... ASIN: B08KGYDR16; Customer Reviews: 4.5 5 stars 1,022Reviews ... This 2nd HP Laptop i7 processor.",suggestion
124,HP Newest 14&#34,"HP Newest 14"" HD Laptop ... How customer reviews and ratings work ... Very pleased with my -hp= laptop.","HP Newest 14"" HD Laptop ... How customer reviews ratings work ... Very pleased -hp= laptop.",appreciation
125,HP 2020 Laptop 14&#34,"HP 2020 Laptop 14"", ... I received the hp laptop in good condition, however I got a samsung charger ...","HP 2020 Laptop 14"", ... I received hp laptop good condition, however I got samsung charger ...",appreciation
126,2022 HP Pavilion Premium Laptop ,"2022 HP Pavilion Premium Laptop ... I got this to replace a larger 17"" screen, heavy HP laptop that was ...","2022 HP Pavilion Premium Laptop ... I got replace larger 17"" screen, heavy HP laptop ...",suggestion
127,Keyboard Cover for HP 14&#34,"Keyboard Cover for HP 14"" ... This keyboard cover was a game changer for my 17 inch HP laptop.","Keyboard Cover HP 14"" ... This keyboard cover game changer 17 inch HP laptop.",suggestion
128,ELECBRAiN New Laptop Battery LA04 ,ELECBRAiN New Laptop Battery LA04 for HP ... I needed a Primary Battery for my Five year old HP Laptop.,ELECBRAiN New Laptop Battery LA04 HP ... I needed Primary Battery Five year old HP Laptop.,suggestion
129,Keyboard Cover for HP Laptop 14 14- ,Keyboard Cover for HP Laptop 14 14-dq/dk/cf/fq 14-dq2045 14-dq2053cl 14-dq2078wm 14-dq1055cl ...,Keyboard Cover HP Laptop 14 14-dq/dk/cf/fq 14-dq2045 14-dq2053cl 14-dq2078wm 14-dq1055cl ...,suggestion
130,HP Pavilion DV9920US 17-inch Laptop ,HP Pavilion DV9920US 17-inch Laptop (2.00 GHz ... I also purchased a different HP laptop at the same.,HP Pavilion DV9920US 17-inch Laptop (2.00 GHz ... I also purchased different HP laptop same.,suggestion
131,Keyboard Cover for HP Laptop 14&#34,"Keyboard Cover for HP Laptop 14""& HP Pavilion x360 14 14-dk 14-fq 14-dq/dk/cf Series 14-dq1040 ...","Keyboard Cover HP Laptop 14""& HP Pavilion x360 14 14-dk 14-fq 14-dq/dk/cf Series 14-dq1040 ...",suggestion
132,Intel® Core™ i5-4210U 1.7GHz... › Customer reviews,"2016 HP 15-ac156nr 15.6"" ... This is the third HP laptop I purchased and as always I am extremely happy ...","2016 HP 15-ac156nr 15.6"" ... This third HP laptop I purchased always I extremely happy ...",appreciation
133,HP Pavilion DV4-1540US ,HP Pavilion ... Best Buy to replace my previous HP laptop (tx1200) which had a problem overheating and ...,HP Pavilion ... Best Buy replace previous HP laptop (tx1200) problem overheating ...,suggestion
134,Hp - Envy 14&#34; Laptop - 8gb Memory,"Hp - Envy 14"" Laptop - 8gb Memory - 1tb Hard Drive - Silver at Amazon.com. Read honest and unbiased ...","Hp - Envy 14"" Laptop - 8gb Memory - 1tb Hard Drive - Silver Amazon.com. Read honest unbiased ...",appreciation
135,HEWLETT PACKARD HP EliteBook ,HEWLETT PACKARD HP EliteBook 8460p ... There shouldn't be a Toshiba motherboard in an HP laptop.,HEWLETT PACKARD HP EliteBook 8460p ... There Toshiba motherboard HP laptop.,suggestion
136,HP Envy 4-1010us Sleekbook 14-Inch Laptop (Black),HP Envy 4-1010us ... will know you have a new HP laptop once it's delivered to you and left outside.,HP Envy 4-1010us ... know new HP laptop delivered left outside.,appreciation
137,HP 2022 Newest 17 Laptop ,"HP 2022 Newest 17 Laptop, 17.3"" FHD IPS ... 185 total ratings, 51 with reviews ... Standard HP laptop.","HP 2022 Newest 17 Laptop, 17.3"" FHD IPS ... 185 total ratings, 51 reviews ... Standard HP laptop.",suggestion
138,"HP 15-ay035cy Laptop, Intel","HP 15-ay035cy Laptop, ... Read honest and unbiased product reviews from our users. ... HP laptop.","HP 15-ay035cy Laptop, ... Read honest unbiased product reviews users. ... HP laptop.",appreciation
139,HP - ENVY Touch-Screen Ultrabook ,"HP - ENVY Touch-Screen Ultrabook ... Oh, and if the laptop keyboard worked, the hp laptop envy is good, ...","HP - ENVY Touch-Screen Ultrabook ... Oh, laptop keyboard worked, hp laptop envy good, ...",appreciation
140,HT03XL L11119-855 Laptop Battery for ,HT03XL L11119-855 ... It was time for a new battery for my HP laptop so I did a lot of research on how ...,HT03XL L11119-855 ... It time new battery HP laptop I lot research ...,suggestion
141,HP Pavilion DV4-1547SB 14.1-Inch ,"HP Pavilion DV4-1547SB ... This is actually my second HP laptop , I was plannig to buy and try another ...","HP Pavilion DV4-1547SB ... This actually second HP laptop , I plannig buy try another ...",suggestion
142,2022 HP 15.6&#39;&#39; FHD Laptop ,2022 HP 15.6'' FHD Laptop ... I bought this one to replace my 7yr old HP laptop that recently died the ...,2022 HP 15.6'' FHD Laptop ... I bought one replace 7yr old HP laptop recently died ...,complaint
143,"HP 15-inch Laptop, Intel Core i3-7020U ","HP 15-inch Laptop, ... My 3 rd HP laptop, all prior had removable battery, this one does not.","HP 15-inch Laptop, ... My 3 rd HP laptop, prior removable battery, one not.",suggestion
144,HP 15.6 Inch Touch Screen Laptop ,HP 15.6 Inch Touch Screen ... I needed to upgrade my hp laptop and I looked at several taking into ...,HP 15.6 Inch Touch Screen ... I needed upgrade hp laptop I looked several taking ...,suggestion
145,HP 17 Business Laptop ,"HP 17 Business Laptop, 17.3"" FHD IPS ... I am very happy that I purchased this HP Laptop when I did.","HP 17 Business Laptop, 17.3"" FHD IPS ... I happy I purchased HP Laptop I did.",appreciation
146,HP - Touch-Screen Laptop,"HP - 15.6"" Touch-Screen Laptop ... How customer reviews and ratings work ... HP Laptop disappointment.","HP - 15.6"" Touch-Screen Laptop ... How customer reviews ratings work ... HP Laptop disappointment.",suggestion
147,HP Pavilion ze4145 Laptop ,"HP Pavilion ze4145 Laptop (1.53 GHz AMD Athlon XP ... If you get hp laptop, get one with an amd chip.","HP Pavilion ze4145 Laptop (1.53 GHz AMD Athlon XP ... If get hp laptop, get one amd chip.",suggestion
148,2021 Newest HP Pavilion Laptop ,2021 Newest HP ... My old HP laptop was a touchscreen and had flimsy hinges which broke and the reason ...,2021 Newest HP ... My old HP laptop touchscreen flimsy hinges broke reason ...,complaint
149,HP 15 Laptop - i7-8565U,"HP 15 Laptop- 15.6"" HD ... Read honest and unbiased product reviews from our users. ... HP laptop.","HP 15 Laptop- 15.6"" HD ... Read honest unbiased product reviews users. ... HP laptop.",appreciation
150,HP Pavilion dv6t Select Edition ,HP Pavilion dv6t Select ... Read honest and unbiased product reviews from our users. ... hp laptop.,HP Pavilion dv6t Select ... Read honest unbiased product reviews users. ... hp laptop.,appreciation
151,"HP 15-ay034cy Laptop, Intel","HP 15-ay034cy Laptop, ... Read honest and unbiased product reviews from our users. ... HP laptop.","HP 15-ay034cy Laptop, ... Read honest unbiased product reviews users. ... HP laptop.",appreciation
152,HP Pavilion Gaming 15-inch Laptop ,"HP Pavilion Gaming ... mostly printers for 30 years, but this is my first HP laptop and if this is not ...","HP Pavilion Gaming ... mostly printers 30 years, first HP laptop ...",suggestion
153,Flagship 2021 HP Laptop 17 Computer ,"2021 HP Laptop 17 Computer 17.3"" HD+ BrightView Touchscreen 11th Gen Intel Quad-Core i3-1125G4 ...","2021 HP Laptop 17 Computer 17.3"" HD+ BrightView Touchscreen 11th Gen Intel Quad-Core i3-1125G4 ...",suggestion
154,2021 HP Newest Premium Laptop ,"2021 HP Newest Premium Laptop Computer, 17.3'' Full HD 1080P IPS Screen, 11th Gen Intel Core ...","2021 HP Newest Premium Laptop Computer, 17.3'' Full HD 1080P IPS Screen, 11th Gen Intel Core ...",suggestion
155,HP 15 Series 15&#34; Laptop Intel ,"HP 15 Series 15"" Laptop Intel Core i3 4GB RAM 256GB SSD Snow White - 10th Gen i3-1005G1 Dual-core - SVA ...","HP 15 Series 15"" Laptop Intel Core i3 4GB RAM 256GB SSD Snow White - 10th Gen i3-1005G1 Dual-core - SVA ...",suggestion
156,HP Pavilion 16.1 inch Gaming Laptop ,HP Pavilion 16.1 inch Gaming ... I got this HP laptop due to my old one was just getting out dated.,HP Pavilion 16.1 inch Gaming ... I got HP laptop due old one getting dated.,suggestion
157,HP Hub for USB-C Laptops ,"HP Hub for USB-C ... Works perfectly with HP laptop, unlike a previously purchased 3rd party hub that ...","HP Hub USB-C ... Works perfectly HP laptop, unlike previously purchased 3rd party hub ...",appreciation
158,2018 HP Pavilion 15.6 Inch Notebook ,"2018 HP Pavilion 15.6 ... My last HP laptop lasted my almost 10 years, and with sustained, daily usage.","2018 HP Pavilion 15.6 ... My last HP laptop lasted almost 10 years, sustained, daily usage.",suggestion
159,HP Envy 13-inch ,"HP Envy 13-inch Laptop ... if you are thinking of buying this HP laptop, I would advise to think again.","HP Envy 13-inch Laptop ... thinking buying HP laptop, I would advise think again.",appreciation
160,HP 15.6-inch Touchscreen HD Laptop ,"HP 15.6-inch ... I purchased an HP Laptop off of Amazon which stated that it was a ""new"" laptop.","HP 15.6-inch ... I purchased HP Laptop Amazon stated ""new"" laptop.",suggestion
161,HP Pavilion Laptop (2022 Model) ,"HP Pavilion Laptop (2022 Model), ... How customer reviews and ratings work ... HP Laptop Review.","HP Pavilion Laptop (2022 Model), ... How customer reviews ratings work ... HP Laptop Review.",appreciation
162,2020 HP 17.3&#34,"2020 HP 17.3"" Touchscreen ... I previously owned a i7 HP laptop which was slower than this i5 8 logical ...","2020 HP 17.3"" Touchscreen ... I previously owned i7 HP laptop slower i5 8 logical ...",suggestion
163,HP Spectre x360 2 ,HP Spectre x360 2-in-1 ... ago and swore I'd never buy an HP laptop again but once I was hunting for a ...,HP Spectre x360 2-in-1 ... ago swore I'd never buy HP laptop I hunting ...,suggestion
164,HP 2019 Newest Premium 15.6-inch ,"HP 2019 Newest Premium ... I will tell you: AS LONG AS I LIVE, I WILL NEVER EVER BUY HP LAPTOP AGAIN.","HP 2019 Newest Premium ... I tell you: AS LONG AS I LIVE, I WILL NEVER EVER BUY HP LAPTOP AGAIN.",suggestion
165,"HP 14 Laptop, AMD 3020e, 4 GB RAM ","HP 14 Laptop, ... it might be a bit of a struggle to get used to an HP laptop.. it's gorgeous, ...","HP 14 Laptop, ... might bit struggle get used HP laptop.. gorgeous, ...",suggestion
166,2020 HP Laptop ,"2020 HP Laptop 15.6"" FHD Micro-Edge WLED Computer, 10th Gen Intel Quad-Core i5-1035G1 (up to 3.6 GHz, ...","2020 HP Laptop 15.6"" FHD Micro-Edge WLED Computer, 10th Gen Intel Quad-Core i5-1035G1 (up 3.6 GHz, ...",suggestion
167,2020 Newest HP Pavilion 14 ,2020 Newest HP Pavilion 14 Inch ... This hp laptop is extremely fast and reliable for its price.,2020 Newest HP Pavilion 14 Inch ... This hp laptop extremely fast reliable price.,appreciation
168,"HP 14 Laptop, Qualcomm Snapdragon ","HP 14 Laptop, Qualcomm Snapdragon 7c ... Made the mistake of purchasing new HP laptop through Amazon.","HP 14 Laptop, Qualcomm Snapdragon 7c ... Made mistake purchasing new HP laptop Amazon.",complaint
169,2021 Newest HP Laptop ,"2021 Newest HP Laptop, 17 HD+ (1600 x 900) Display, 11th Gen Intel Core i3-1115G4 (up to 4.1GHz), ...","2021 Newest HP Laptop, 17 HD+ (1600 x 900) Display, 11th Gen Intel Core i3-1115G4 (up 4.1GHz), ...",suggestion
170,"HP 2020 15 15.6"" HD Touchscreen Premium Laptop - 10th ","Compare New & Used (39) from. $349.99$349.99 ... ASIN: B081SM57RY; Customer Reviews: 4.4 out of 5 stars 2,069Reviews ... Quick Review of The HP Laptop.","Compare New & Used (39) from. $349.99$349.99 ... ASIN: B081SM57RY; Customer Reviews: 4.4 5 stars 2,069Reviews ... Quick Review The HP Laptop.",suggestion
171,2019 HP Pavilion 15.6-inch Full HD ,2019 HP Pavilion 15.6-inch Full HD (1920 x 1080) ... Felt slower booting up than my 2016 HP laptop.,2019 HP Pavilion 15.6-inch Full HD (1920 x 1080) ... Felt slower booting 2016 HP laptop.,complaint
172,HP Laptop Battery VI04,HP Laptop Battery VI04 at Amazon.com. Read honest and unbiased product reviews from our users.,HP Laptop Battery VI04 Amazon.com. Read honest unbiased product reviews users.,appreciation
